L	0.2416	3.0559	1477010443300000	-0.0118	2.9997	-0.0785	0.9969
L	-0.1432	3.8339	1477010444100000	-0.1797	3.7797	-0.3239	0.9461
L	-0.4276	4.4961	1477010444900000	-0.5364	4.4935	-0.5490	0.8358
L	-1.0167	5.1255	1477010445700000	-1.0593	5.0961	-0.7396	0.6730
L	-1.6029	5.6261	1477010446500000	-1.7157	5.5498	-0.8838	0.4679
L	-2.3616	5.8269	1477010447300000	-2.4643	5.8259	-0.9724	0.2334
L	-3.2687	6.0615	1477010448100000	-3.2580	5.9073	-0.9999	-0.0157
L	-4.0667	5.5637	1477010448900000	-4.0471	5.7886	-0.9646	-0.2639
L	-4.8820	5.2209	1477010449700000	-4.7818	5.4775	-0.8686	-0.4955
L	-5.2631	5.0693	1477010450500000	-5.4161	4.9934	-0.7181	-0.6959
L	-5.9471	4.2364	1477010451300000	-5.9101	4.3668	-0.5225	-0.8526
L	-6.2568	3.5573	1477010452100000	-6.2327	3.6371	-0.2941	-0.9558
L	-6.3686	2.7574	1477010452900000	-6.3637	2.8500	-0.0471	-0.9989
L	-6.2139	1.8627	1477010453700000	-6.2949	2.0550	0.2028	-0.9792
L	-6.1690	1.4062	1477010454500000	-6.0305	1.3022	0.4399	-0.8980
L	-5.5573	0.6887	1477010455300000	-5.5872	0.6388	0.6494	-0.7604
L	-4.7766	0.1079	1477010456100000	-4.9928	0.1064	0.8181	-0.5750
L	-4.3977	-0.1788	1477010456900000	-4.2848	-0.2614	0.9354	-0.3535
L	-3.4607	-0.3252	1477010457700000	-3.5075	-0.4416	0.9940	-0.1098
L	-2.4545	-0.6776	1477010458500000	-2.7098	-0.4228	0.9900	0.1409
L	-1.8120	-0.1489	1477010459300000	-1.9419	-0.2062	0.9239	0.3827
L	-1.1063	0.1005	1477010460100000	-1.2519	0.1946	0.7997	0.6004
L	-0.9359	0.5990	1477010460900000	-0.6833	0.7543	0.6253	0.7804
L	-0.2850	1.5911	1477010461700000	-0.2717	1.4379	0.4115	0.9114
L	0.0346	1.9191	1477010462500000	-0.0431	2.2024	0.1720	0.9851
L	0.0464	2.7742	1477010463300000	0.0039	2.9999	0.0471	0.9989
L	0.1926	3.9696	1477010464100000	0.1473	3.7848	0.2941	0.9558
L	0.3720	4.5184	1477010464900000	0.4813	4.5094	0.5225	0.8526
L	1.1568	5.0750	1477010465700000	0.9851	5.1282	0.7181	0.6959
L	1.4773	5.6097	1477010466500000	1.6269	5.6023	0.8686	0.4954
L	2.6287	6.0315	1477010467300000	2.3664	5.9018	0.9646	0.2638
L	3.0641	5.8015	1477010468100000	3.1572	6.0080	0.9999	0.0157
L	3.9683	5.9002	1477010468900000	3.9496	5.9142	0.9724	-0.2335
L	4.6958	5.4281	1477010469700000	4.6938	5.6263	0.8838	-0.4680
L	5.2357	5.1180	1477010470500000	5.3430	5.1624	0.7396	-0.6730
L	5.7856	4.4971	1477010471300000	5.8564	4.5516	0.5490	-0.8358
L	6.0627	3.8873	1477010472100000	6.2018	3.8324	0.3239	-0.9461
L	6.2151	3.1278	1477010472900000	6.3574	3.0498	0.0784	-0.9969
L	6.2249	1.9430	1477010473700000	6.3136	2.2531	-0.1719	-0.9851
L	6.0868	1.5795	1477010474500000	6.0730	1.4923	-0.4115	-0.9114
L	5.6853	0.8055	1477010475300000	5.6507	0.8153	-0.6253	-0.7804
L	4.8486	0.4201	1477010476100000	5.0734	0.2645	-0.7997	-0.6004
L	4.5402	-0.2356	1477010476900000	4.3772	-0.1253	-0.9239	-0.3827
L	3.8052	-0.1734	1477010477700000	3.6060	-0.3298	-0.9900	-0.1409
L	2.9107	0.0416	1477010478500000	2.8081	-0.3361	-0.9940	0.1097
L	2.0773	-0.1578	1477010479300000	2.0337	-0.1437	-0.9354	0.3535
L	1.4860	0.0640	1477010480100000	1.3315	0.2352	-0.8181	0.5750
L	0.4676	0.8040	1477010480900000	0.7456	0.7768	-0.6494	0.7604
L	0.1534	1.5950	1477010481700000	0.3128	1.4471	-0.4399	0.8980
L	0.1258	2.4741	1477010482500000	0.0603	2.2040	-0.2028	0.9792
